District,Age 0 - 4,Aged 10-14,Aged 15-19,Aged 20-24,Aged 25-29,Aged 30-34,Aged 35-39,Aged 40-44,Aged 45-49,Aged 5-9,Aged 50-54,Aged 55-59,Aged 60-64,Aged 65-69,Aged 70-74,Aged 75-79,Aged 80-84,Aged 85+,Total
East Devon,6446,7766,6801,5491,6417,6866,7048,7215,8990,7734,10334,10422,10339,10696,11919,8588,6338,6874,146284
Exeter,6389,6195,9521,16927,13007,9268,8081,6968,7105,6739,7494,6765,5897,5424,5387,3896,2941,3401,131405
Mid Devon,4102,5201,4437,3719,4005,4170,4515,4482,5565,4908,6249,6159,5416,5358,5274,3683,2500,2568,82311
North Devon,4770,5442,4781,4191,4945,5022,5145,5060,6326,5610,7270,7343,6700,6201,6862,4778,3365,3334,97145
Plymouth,14630,14442,15012,22775,18691,16955,16763,13970,15924,15996,17328,16535,14549,12768,13255,9220,6764,6523,262100
South Hams,3578,4711,4318,3194,3545,3774,4185,4470,5357,4557,6714,7219,6798,6709,6985,4600,3231,3059,87004
Teignbridge,6191,7008,6298,5362,6416,7045,7070,6998,8481,7234,10196,10670,9507,9537,9914,6629,4574,5033,134163
Torbay,6733,7087,6437,6078,6810,7116,6773,6535,8635,7669,9996,10284,9499,9205,10094,7086,5039,5188,136264
Torridge,2979,3588,3237,2711,3174,3204,3229,3364,4257,3713,5049,5426,5402,5367,5271,3580,2383,2333,68267
West Devon,2319,3091,2644,2105,2294,2540,2747,2676,3521,2870,4385,4731,4264,4143,4428,2961,2017,2060,55796
